-4.9,17.8,14.5,-21,149.1,-49
-4.9,17.8,14.5,77.5,183.4,-44.8
-1,20.8,8.6,77.5,183.4,-44.8
-1,20.8,8.6,-104.4,-503.7,-38.7
6.9,12.3,9.9,-104.4,-503.7,-38.7
6.9,12.3,9.9,26.3,475.2,-26.4
-11.6,12,3.9,26.3,475.2,-26.4
-11.6,12,3.9,-7.6,-349,119.5
20.6,3.5,6.1,-7.6,-349,119.5
20.6,3.5,6.1,56.3,229.9,45
-1.3,19.4,8.4,56.3,229.9,45
-1.3,19.4,8.4,53.1,94.5,-114.6
6.2,24.7,9.5,53.1,94.5,-114.6
6.2,24.7,9.5,-204.7,-380.4,-55.1
6.6,21.6,10.3,-204.7,-380.4,-55.1
6.6,21.6,10.3,205.9,548.9,-3.2
-6,11.7,1.7,205.9,548.9,-3.2
-6,11.7,1.7,-163.1,-422.3,158.9
17.5,-0.5,2.7,-163.1,-422.3,158.9
17.5,-0.5,2.7,30.8,326,137.3
-7.9,13.4,6.5,30.8,326,137.3
-7.9,13.4,6.5,43.6,10.4,-24.4
3.4,20.3,10.5,43.6,10.4,-24.4
3.4,20.3,10.5,-156.6,-482.9,-226.7
9.9,11.5,11.2,-156.6,-482.9,-226.7
9.9,11.5,11.2,-33.4,445.1,176
-14.5,11.1,5.9,-33.4,445.1,176
-14.5,11.1,5.9,-33.5,-212.8,50.8
7.5,17.2,6.1,-33.5,-212.8,50.8
7.5,17.2,6.1,-14.6,-201.9,-130
5.5,16.1,7.9,-14.6,-201.9,-130
5.5,16.1,7.9,242,442.6,-36.3
-14.1,8.8,-1.5,242,442.6,-36.3
-14.1,8.8,-1.5,-246.2,-442,255.2
17.2,-1.4,3.8,-246.2,-442,255.2
17.2,-1.4,3.8,110.8,376,30.1
-12.6,11.1,3.1,110.8,376,30.1
-12.6,11.1,3.1,-15.9,-53.6,5.7
5.1,25.3,10.5,-15.9,-53.6,5.7
5.1,25.3,10.5,2.2,-406.7,-98.5
5.3,22.4,6.6,2.2,-406.7,-98.5
5.3,22.4,6.6,184.3,553.4,17.5
-8,8.8,7.7,184.3,553.4,17.5
-8,8.8,7.7,-37,-450.5,78.3
14.4,2.4,8.8,-37,-450.5,78.3
14.4,2.4,8.8,16.2,329.3,48.1
-9.9,14.2,4.9,16.2,329.3,48.1
-9.9,14.2,4.9,-68.4,-112.7,-24.8
-0.1,22.9,11.1,-68.4,-112.7,-24.8
-0.1,22.9,11.1,-148.9,-423.7,-91
7.3,14,10.6,-148.9,-423.7,-91
7.3,14,10.6,78.5,437.9,17
-14,7.8,3.7,78.5,437.9,17
-14,7.8,3.7,-0.3,-265.4,151
